player,master_elo,elite_status,primary_position,position_name,is_goalkeeper,position_games,total_actions,momentum_factor,saves,penalty_saves,goals_against,save_percentage
Anders Kragh MARTINUSEN,2664.3,LEGENDARY,MV,Målvogter,False,1236,3202,1.002,0,0,0,0.0
Peter BALLING,2413.8,LEGENDARY,HF,Højre fløj,False,1417,2985,1.005,0,0,0,0.0
Emil BERGHOLT,2313.3,LEGENDARY,MV,Målvogter,False,1294,1400,1.003,0,0,0,0.0
William AAR,2303.2,LEGENDARY,MV,Målvogter,False,1295,1394,1.001,0,0,0,0.0
Eivind TANGEN,2300.9,LEGENDARY,HF,Højre fløj,False,1374,2995,1.0,0,0,0,0.0
Sebastian SKUBE,2298.2,LEGENDARY,MV,Målvogter,False,1109,1444,1.002,0,0,0,0.0
Nikolaj Øris NIELSEN,2242.4,LEGENDARY,HF,Højre fløj,False,1005,2306,1.004,0,0,0,0.0
Nikolaj LÆSØ,2216.0,LEGENDARY,HF,Højre fløj,False,994,2151,1.002,0,0,0,0.0
Noah GAUDIN,2206.0,LEGENDARY,HF,Højre fløj,False,1066,2270,1.001,0,0,0,0.0
Morten BALLING,2199.8,LEGENDARY,HF,Højre fløj,False,1224,1895,1.002,0,0,0,0.0
Jacob LASSEN,2191.4,LEGENDARY,HF,Højre fløj,False,1193,1956,1.001,0,0,0,0.0
Kristian STOKLUND,2174.8,LEGENDARY,HF,Højre fløj,False,1032,1841,1.003,0,0,0,0.0
Mathias JØRGENSEN,2169.1,LEGENDARY,HF,Højre fløj,False,1563,1662,1.002,0,0,0,0.0
Morten Hempel JENSEN,2163.2,LEGENDARY,HF,Højre fløj,False,926,1844,1.003,0,0,0,0.0
Marcus DAHLIN,2160.9,LEGENDARY,HF,Højre fløj,False,780,1910,1.003,0,0,0,0.0
Thomas ARNOLDSEN,2159.9,LEGENDARY,HF,Højre fløj,False,1112,1835,1.004,0,0,0,0.0
Magnus BRAMMING,2151.0,LEGENDARY,HF,Højre fløj,False,955,1549,1.003,0,0,0,0.0
Nikolaj MARKUSSEN,2145.2,LEGENDARY,HF,Højre fløj,False,732,1993,0.999,0,0,0,0.0
Mads Kjeldgaard ANDERSEN,2133.7,LEGENDARY,HF,Højre fløj,False,1008,1757,1.002,0,0,0,0.0
Aaron MENSING,2125.7,LEGENDARY,HF,Højre fløj,False,635,1744,1.001,0,0,0,0.0
Lasse MIKKELSEN,2124.2,LEGENDARY,HF,Højre fløj,False,854,1539,1.002,0,0,0,0.0
Bjarke CHRISTENSEN,2119.3,LEGENDARY,HF,Højre fløj,False,839,1336,1.001,0,0,0,0.0
Jesper KONRADSSON,2118.7,LEGENDARY,HF,Højre fløj,False,1186,1994,1.002,0,0,0,0.0
Erik Thorsteinsen TOFT,2114.3,LEGENDARY,HF,Højre fløj,False,635,1835,1.001,0,0,0,0.0
Felix CLAAR,2106.7,LEGENDARY,HF,Højre fløj,False,970,1677,1.001,0,0,0,0.0
Torben PETERSEN,2090.6,ELITE,HF,Højre fløj,False,693,1582,1.004,0,0,0,0.0
Frederik TILSTED,2082.4,ELITE,HF,Højre fløj,False,999,1709,1.002,0,0,0,0.0
Johan MEKLENBORG,2076.8,ELITE,HF,Højre fløj,False,678,1442,1.006,0,0,0,0.0
Nichlas HALD,2072.6,ELITE,HF,Højre fløj,False,838,1728,1.001,0,0,0,0.0
Lukas SANDELL,2057.6,ELITE,HF,Højre fløj,False,968,1612,1.002,0,0,0,0.0
Carl-Emil HAUNSTRUP,2053.7,ELITE,HF,Højre fløj,False,1115,1139,1.005,0,0,0,0.0
Morten OLSEN,2052.2,ELITE,HF,Højre fløj,False,966,1858,1.002,0,0,0,0.0
Sebastian BARTHOLD,2047.8,ELITE,HF,Højre fløj,False,739,1279,1.004,0,0,0,0.0
Magnus SAUGSTRUP,2035.2,ELITE,MV,Målvogter,False,547,703,1.005,0,0,0,0.0
Nicolaj JØRGENSEN,2031.5,ELITE,HF,Højre fløj,False,754,1318,1.004,0,0,0,0.0
Nicolai PEDERSEN,2020.6,ELITE,HF,Højre fløj,False,714,1502,1.003,0,0,0,0.0
Marcus MØRK,2014.8,ELITE,HF,Højre fløj,False,703,1628,1.002,0,0,0,0.0
Mark NIKOLAJSEN,1995.4,ELITE,HF,Højre fløj,False,676,1467,1.004,0,0,0,0.0
Emil MADSEN,1960.7,ELITE,HF,Højre fløj,False,811,1270,1.0,0,0,0,0.0
Jesper KOKHOLM,1960.6,ELITE,HF,Højre fløj,False,1105,1158,1.004,0,0,0,0.0
Martin BISGAARD,1958.4,ELITE,HF,Højre fløj,False,555,1127,1.002,0,0,0,0.0
Andreas LANG,1953.6,ELITE,HF,Højre fløj,False,846,1398,1.004,0,0,0,0.0
Lasse Kjær MØLLER,1949.1,ELITE,HF,Højre fløj,False,581,1255,1.004,0,0,0,0.0
Jonas Gade NIELSEN,1947.7,ELITE,HF,Højre fløj,False,810,1406,1.001,0,0,0,0.0
Simon PYTLICK,1935.6,ELITE,HF,Højre fløj,False,840,1448,1.006,0,0,0,0.0
Lasse PEDERSEN,1934.7,ELITE,HF,Højre fløj,False,1075,1158,1.004,0,0,0,0.0
Henrik MØLLGAARD,1931.7,ELITE,HF,Højre fløj,False,897,1486,0.998,0,0,0,0.0
Nicolaj NØRAGER,1917.6,ELITE,HF,Højre fløj,False,712,1203,1.001,0,0,0,0.0
Mads Svane KNUDSEN,1917.3,ELITE,HF,Højre fløj,False,771,1279,1.003,0,0,0,0.0
Buster JUUL,1904.0,ELITE,HF,Højre fløj,False,747,1007,1.003,0,0,0,0.0
Miha ZVIZEJ,1900.4,ELITE,ST,Streg,False,714,1342,1.001,0,0,0,0.0
René RASMUSSEN,1899.6,ELITE,HF,Højre fløj,False,977,1050,1.003,0,0,0,0.0
Jonas LARHOLM,1896.8,ELITE,HF,Højre fløj,False,592,1195,1.001,0,0,0,0.0
Emil LÆRKE,1892.2,ELITE,HF,Højre fløj,False,487,1245,1.008,0,0,0,0.0
Elvar ASGEIRSSON,1891.6,ELITE,HF,Højre fløj,False,719,1172,1.003,0,0,0,0.0
Thomas BOILESEN,1876.6,ELITE,HF,Højre fløj,False,675,1186,1.003,0,0,0,0.0
Oliver NORLYK,1876.4,ELITE,HF,Højre fløj,False,623,1223,1.005,0,0,0,0.0
Lars SKAARUP,1866.8,ELITE,HF,Højre fløj,False,507,1046,1.004,0,0,0,0.0
Marcus MIDTGAARD,1865.2,ELITE,HF,Højre fløj,False,865,1140,1.004,0,0,0,0.0
Jonatan MOLLERUP,1863.6,ELITE,HF,Højre fløj,False,716,1258,0.999,0,0,0,0.0
Jesper DAHL,1858.0,ELITE,HF,Højre fløj,False,732,1281,1.001,0,0,0,0.0
William BOGOJEVIC,1852.7,ELITE,HF,Højre fløj,False,643,1208,1.004,0,0,0,0.0
Martin LARSEN,1850.7,ELITE,HF,Højre fløj,False,640,1229,1.002,0,0,0,0.0
Christoffer BONDE,1848.1,ELITE,MV,Målvogter,False,730,730,1.01,0,0,0,0.0
Matias CAMPBELL,1844.4,ELITE,HF,Højre fløj,False,539,946,1.005,0,0,0,0.0
Jonas PORUP,1840.1,ELITE,HF,Højre fløj,False,1048,1562,1.001,0,0,0,0.0
Mathias BITSCH,1839.7,ELITE,PL,Playmaker,False,400,1103,1.001,0,0,0,0.0
Mads Hoxer HANGAARD,1838.4,ELITE,HF,Højre fløj,False,468,978,1.003,0,0,0,0.0
Christoffer DREYER,1829.7,ELITE,HF,Højre fløj,False,640,924,0.999,0,0,0,0.0
Jeppe Gade NIELSEN,1828.7,ELITE,HF,Højre fløj,False,450,782,1.005,0,0,0,0.0
Sander ØVERJORDET,1826.6,ELITE,HF,Højre fløj,False,574,1117,1.0,0,0,0,0.0
Emil JAKOBSEN,1826.3,ELITE,HF,Højre fløj,False,528,889,1.002,0,0,0,0.0
Runar KARASON,1821.6,ELITE,HF,Højre fløj,False,446,1028,1.004,0,0,0,0.0
Jeppe CIESLAK,1821.1,ELITE,HF,Højre fløj,False,454,748,1.005,0,0,0,0.0
Thomas DAMGAARD,1819.8,ELITE,HF,Højre fløj,False,586,928,1.006,0,0,0,0.0
Mathias GIDSEL,1808.7,ELITE,HF,Højre fløj,False,773,1008,1.002,0,0,0,0.0
Alfred JÖNSSON,1794.8,ELITE,HF,Højre fløj,False,406,894,1.003,0,0,0,0.0
Rasmus PORUP,1790.6,ELITE,HF,Højre fløj,False,359,938,1.005,0,0,0,0.0
Jonas LANGERHUUS,1789.5,ELITE,HF,Højre fløj,False,739,1190,1.0,0,0,0,0.0
Tobias NIELSEN,1786.8,ELITE,HF,Højre fløj,False,676,693,1.003,0,0,0,0.0
Lasse UTH,1784.8,ELITE,HF,Højre fløj,False,451,862,1.006,0,0,0,0.0
Andreas FLODMAN,1779.3,ELITE,HF,Højre fløj,False,735,779,1.002,0,0,0,0.0
Nikolaj LARSSON,1777.8,ELITE,MV,Målvogter,False,294,542,1.006,0,0,0,0.0
Cornelius KRAGH,1775.6,ELITE,HF,Højre fløj,False,488,989,1.001,0,0,0,0.0
Allan DAMGAARD,1766.1,ELITE,HF,Højre fløj,False,672,899,0.999,0,0,0,0.0
Jakob RASMUSSEN,1764.3,ELITE,HF,Højre fløj,False,483,905,1.003,0,0,0,0.0
Tobias MØLLER,1764.2,ELITE,HF,Højre fløj,False,449,693,1.002,0,0,0,0.0
Rasmus MADSEN,1764.0,ELITE,MV,Målvogter,False,369,615,1.006,0,0,0,0.0
Henrik TILSTED,1758.4,ELITE,HF,Højre fløj,False,409,693,1.002,0,0,0,0.0
Kasper YOUNG,1757.7,ELITE,HF,Højre fløj,False,648,710,1.003,0,0,0,0.0
Benjamin HALLGREN,1756.3,ELITE,HF,Højre fløj,False,579,865,1.003,0,0,0,0.0
Sebastian HENNEBERG,1753.9,ELITE,HF,Højre fløj,False,402,887,1.004,0,0,0,0.0
Aron PALMARSSON,1753.2,ELITE,HF,Højre fløj,False,336,774,1.005,0,0,0,0.0
Jerry TOLLBRING,1751.5,ELITE,HF,Højre fløj,False,458,717,1.002,0,0,0,0.0
Ludvig HALLBÄCK,1742.5,ELITE,HF,Højre fløj,False,469,830,1.001,0,0,0,0.0
Kristian STRANDEN,1740.7,ELITE,HF,Højre fløj,False,424,975,1.002,0,0,0,0.0
Kristian OLSEN,1739.8,ELITE,HF,Højre fløj,False,345,801,1.002,0,0,0,0.0
Mark STRANDGAARD,1736.7,ELITE,HF,Højre fløj,False,647,688,1.003,0,0,0,0.0
Andreas SØGAARD,1730.3,ELITE,ST,Streg,False,389,752,1.004,0,0,0,0.0
Niclas Vest KIRKELØKKE,1726.7,ELITE,HF,Højre fløj,False,374,752,1.003,0,0,0,0.0
Benjamin PEDERSEN,1726.5,ELITE,ST,Streg,False,468,772,1.003,0,0,0,0.0
Kasper SØNDERGAARD,1724.0,ELITE,HF,Højre fløj,False,308,662,1.001,0,0,0,0.0
Jonas SAMUELSSON,1723.4,ELITE,HF,Højre fløj,False,672,740,1.003,0,0,0,0.0
Nicolaj SPANGGAARD,1723.3,ELITE,HF,Højre fløj,False,560,958,1.003,0,0,0,0.0
Alexander LYNGGAARD,1721.7,ELITE,HF,Højre fløj,False,591,1070,1.0,0,0,0,0.0
August WIGER,1721.4,ELITE,HF,Højre fløj,False,392,712,1.003,0,0,0,0.0
Chris Holm JØRGENSEN,1717.8,ELITE,HF,Højre fløj,False,384,811,1.003,0,0,0,0.0
Janus SMARÁSON,1717.5,ELITE,HF,Højre fløj,False,427,813,1.001,0,0,0,0.0
Lauritz LEGÉR,1716.0,ELITE,HF,Højre fløj,False,654,976,1.005,0,0,0,0.0
Kristoffer VESTERGAARD,1715.7,ELITE,HF,Højre fløj,False,418,794,1.004,0,0,0,0.0
Kristian BONEFELD,1715.6,ELITE,HF,Højre fløj,False,842,1075,1.001,0,0,0,0.0
Mads HOXER,1715.0,ELITE,HF,Højre fløj,False,394,732,1.003,0,0,0,0.0
Magnus HAUBRO,1714.7,ELITE,HF,Højre fløj,False,486,732,1.003,0,0,0,0.0
Nikolaj ENDERLEIT,1714.5,ELITE,HF,Højre fløj,False,516,910,1.0,0,0,0,0.0
Omar Ingi MAGNUSSON,1714.1,ELITE,HF,Højre fløj,False,436,821,1.002,0,0,0,0.0
Cornelius Kragh AASTRUP,1713.4,ELITE,HF,Højre fløj,False,339,874,1.003,0,0,0,0.0
Kasper KISUM,1710.8,ELITE,HF,Højre fløj,False,424,906,1.002,0,0,0,0.0
Sebastian FRANDSEN,1709.6,ELITE,MV,Målvogter,False,524,524,1.032,0,0,0,0.0
Bjarte MYRHOL,1706.8,ELITE,ST,Streg,False,407,811,1.004,0,0,0,0.0
Tobias JØRGENSEN,1706.3,ELITE,HF,Højre fløj,False,569,905,1.003,0,0,0,0.0
Thomas MOGENSEN,1703.2,ELITE,HF,Højre fløj,False,521,865,1.0,0,0,0,0.0
Tobias ELLEBÆK,1701.0,ELITE,HF,Højre fløj,False,342,786,1.0,0,0,0,0.0
Anders EGGERT,1700.3,ELITE,HF,Højre fløj,False,374,565,1.01,0,0,0,0.0
Andreas Holst JENSEN,1698.9,NORMAL,HF,Højre fløj,False,271,779,1.003,0,0,0,0.0
Lukas KARLSSON,1692.9,NORMAL,PL,Playmaker,False,255,672,1.004,0,0,0,0.0
Kristian BJØRNSEN,1688.7,NORMAL,HF,Højre fløj,False,590,627,1.004,0,0,0,0.0
Frederik BJERRE,1687.9,NORMAL,HF,Højre fløj,False,339,564,1.009,0,0,0,0.0
Fredrik OLSSON,1686.7,NORMAL,HF,Højre fløj,False,348,643,1.006,0,0,0,0.0
Kasper Irming ANDERSEN,1681.6,NORMAL,HF,Højre fløj,False,307,753,1.006,0,0,0,0.0
Joaquim NAZARÉ,1681.5,NORMAL,HF,Højre fløj,False,479,799,1.007,0,0,0,0.0
Christoffer CICHOSZ,1677.5,NORMAL,HF,Højre fløj,False,427,856,0.999,0,0,0,0.0
Jon ANDERSEN,1668.4,NORMAL,HF,Højre fløj,False,483,852,1.006,0,0,0,0.0
Johan HANSEN,1666.0,NORMAL,HF,Højre fløj,False,499,510,1.006,0,0,0,0.0
Reinier TABOADA,1663.3,NORMAL,HF,Højre fløj,False,512,775,1.003,0,0,0,0.0
Senjamin BURIC,1663.1,NORMAL,ST,Streg,False,442,782,1.002,0,0,0,0.0
Mattias THYNELL,1653.9,NORMAL,HF,Højre fløj,False,271,695,1.008,0,0,0,0.0
Rasmus LAUGE,1652.9,NORMAL,HF,Højre fløj,False,394,659,1.004,0,0,0,0.0
Thomas Bohl DAMGAARD,1643.1,NORMAL,HF,Højre fløj,False,401,682,1.003,0,0,0,0.0
Jorn SMITS,1643.1,NORMAL,HF,Højre fløj,False,478,682,1.006,0,0,0,0.0
Morten BJØRNSHAUGE,1640.7,NORMAL,ST,Streg,False,513,980,0.999,0,0,0,0.0
Jens PESCHARDT,1640.2,NORMAL,HF,Højre fløj,False,419,716,1.002,0,0,0,0.0
Andreas VÆVER,1637.9,NORMAL,HF,Højre fløj,False,290,541,1.007,0,0,0,0.0
Morten JØRGENSEN,1636.5,NORMAL,HF,Højre fløj,False,294,547,1.008,0,0,0,0.0
Gustav BRUUN,1633.8,NORMAL,HF,Højre fløj,False,430,560,1.004,0,0,0,0.0
Aksel HORGEN,1631.9,NORMAL,HF,Højre fløj,False,496,541,1.009,0,0,0,0.0
Lukas JØRGENSEN,1631.3,NORMAL,HF,Højre fløj,False,360,657,1.003,0,0,0,0.0
Simon GADE,1629.4,NORMAL,MV,Målvogter,False,462,462,1.008,0,0,0,0.0
Nicolai NYGAARD,1624.9,NORMAL,HF,Højre fløj,False,312,637,1.007,0,0,0,0.0
Mads Thymann HANSEN,1623.5,NORMAL,HF,Højre fløj,False,343,762,1.004,0,0,0,0.0
Oliver Nøddesbo EGGERT,1623.1,NORMAL,HF,Højre fløj,False,317,700,1.003,0,0,0,0.0
Josef PUJOL,1614.4,NORMAL,MV,Målvogter,False,248,382,1.011,0,0,0,0.0
Mikkel Kjær MØLLER,1611.5,NORMAL,HF,Højre fløj,False,296,533,1.005,0,0,0,0.0
Mikkel HANSEN,1606.0,NORMAL,HF,Højre fløj,False,312,568,1.008,0,0,0,0.0
Tobias GRØNDAHL,1601.8,NORMAL,HF,Højre fløj,False,403,563,1.001,0,0,0,0.0
Viktor ÖSTLUND,1601.7,NORMAL,HF,Højre fløj,False,263,604,1.005,0,0,0,0.0
Martin Risom CHRISTENSEN,1600.6,NORMAL,HF,Højre fløj,False,372,594,1.001,0,0,0,0.0
Frederik LADEFOGED,1598.6,NORMAL,HF,Højre fløj,False,416,787,1.004,0,0,0,0.0
Frederik IVERSEN,1598.3,NORMAL,VF,Venstre fløj,False,310,482,1.01,0,0,0,0.0
Chris JØRGENSEN,1596.8,NORMAL,HF,Højre fløj,False,345,695,1.014,0,0,0,0.0
Svend RUGHAVE,1595.7,NORMAL,MV,Målvogter,False,414,414,1.001,0,0,0,0.0
Odinn RIKHARDSSON,1595.0,NORMAL,HF,Højre fløj,False,434,464,1.005,0,0,0,0.0
Oskar Vind RASMUSSEN,1592.4,NORMAL,HF,Højre fløj,False,478,489,1.004,0,0,0,0.0
Jakob MIKKELSEN,1592.3,NORMAL,HF,Højre fløj,False,341,623,1.001,0,0,0,0.0
Jørgen RASMUSSEN,1590.1,NORMAL,HF,Højre fløj,False,201,421,1.006,0,0,0,0.0
Christian JENSEN,1589.9,NORMAL,HF,Højre fløj,False,421,448,1.01,0,0,0,0.0
Andreas HAAGEN,1589.3,NORMAL,MV,Målvogter,False,324,324,1.004,0,0,0,0.0
Kristian Stoklund LARSEN,1583.8,NORMAL,HF,Højre fløj,False,213,492,1.009,0,0,0,0.0
Hákun West Av TEIGUM,1575.9,NORMAL,HF,Højre fløj,False,410,419,1.005,0,0,0,0.0
Jacob HOLM,1574.7,NORMAL,HF,Højre fløj,False,223,476,1.004,0,0,0,0.0
Rune Hoyer SCHRØDER,1573.6,NORMAL,HF,Højre fløj,False,220,548,1.0,0,0,0,0.0
Patrick BOLDSEN,1570.1,NORMAL,HF,Højre fløj,False,411,419,1.004,0,0,0,0.0
Anders ZACHARIASSEN,1567.4,NORMAL,HF,Højre fløj,False,355,622,1.009,0,0,0,0.0
Henrik JAKOBSEN,1565.1,NORMAL,HF,Højre fløj,False,381,723,1.002,0,0,0,0.0
Lars MOUSING,1564.4,NORMAL,ST,Streg,False,312,624,1.006,0,0,0,0.0
Kasper KVIST,1563.3,NORMAL,HF,Højre fløj,False,245,471,1.005,0,0,0,0.0
Simon BIRKEFELDT,1563.3,NORMAL,HF,Højre fløj,False,502,683,1.002,0,0,0,0.0
Philip STENMALM,1562.5,NORMAL,HF,Højre fløj,False,185,461,1.007,0,0,0,0.0
Kasper LARSEN,1562.4,NORMAL,MV,Målvogter,False,441,441,0.998,0,0,0,0.0
Emil TELLERUP,1560.1,NORMAL,MV,Målvogter,False,474,474,0.999,0,0,0,0.0
Kay SMITS,1551.5,NORMAL,HF,Højre fløj,False,301,478,1.004,0,0,0,0.0
Kasper Emil KILDELUND,1544.7,NORMAL,HF,Højre fløj,False,472,493,1.004,0,0,0,0.0
Rene ANTONSEN,1544.4,NORMAL,HF,Højre fløj,False,367,671,1.006,0,0,0,0.0
Salah BOUTAF,1543.7,NORMAL,MV,Målvogter,False,448,448,1.009,0,0,0,0.0
Edwin ASPENBÄCK,1543.6,NORMAL,HF,Højre fløj,False,403,488,1.009,0,0,0,0.0
Christian HOLM,1543.4,NORMAL,HF,Højre fløj,False,386,550,1.0,0,0,0,0.0
Jonathan WÜRTZ,1543.1,NORMAL,HF,Højre fløj,False,395,672,1.004,0,0,0,0.0
Mads THYMANN,1543.0,NORMAL,HF,Højre fløj,False,361,691,1.001,0,0,0,0.0
Bo SPELLERBERG,1542.3,NORMAL,HF,Højre fløj,False,139,441,1.003,0,0,0,0.0
Jakob FREDERIKSEN,1541.7,NORMAL,HF,Højre fløj,False,319,384,1.005,0,0,0,0.0
Jeppe GADE,1541.4,NORMAL,PL,Playmaker,False,204,453,1.008,0,0,0,0.0
Aleks VLAH,1541.3,NORMAL,HF,Højre fløj,False,359,554,1.005,0,0,0,0.0
Josip CAVAR,1541.1,NORMAL,MV,Målvogter,False,410,410,1.007,0,0,0,0.0
Hjalte LYKKE,1539.0,NORMAL,HF,Højre fløj,False,318,419,1.002,0,0,0,0.0
Mikkel LØVKVIST,1539.0,NORMAL,MV,Målvogter,False,321,321,1.014,0,0,0,0.0
Mads PETER-LØNBORG,1538.3,NORMAL,HF,Højre fløj,False,365,510,1.004,0,0,0,0.0
Lukas NILSSON,1537.7,NORMAL,HF,Højre fløj,False,249,492,1.002,0,0,0,0.0
Nikolaj NIELSEN,1535.5,NORMAL,HF,Højre fløj,False,311,606,1.004,0,0,0,0.0
Oliver WOSNIAK,1532.3,NORMAL,HF,Højre fløj,False,182,559,1.002,0,0,0,0.0
Emil GRØNBECH,1532.1,NORMAL,HF,Højre fløj,False,282,528,1.004,0,0,0,0.0
Elvar Örn JÓNSSON,1529.0,NORMAL,HF,Højre fløj,False,202,497,1.008,0,0,0,0.0
Olafur GUSTAFSSON,1527.2,NORMAL,MV,Målvogter,False,195,411,1.0,0,0,0,0.0
Jac KARLSSON,1526.4,NORMAL,HF,Højre fløj,False,212,412,1.004,0,0,0,0.0
Ágúst Eli BJÖRGVINSSON,1525.7,NORMAL,MV,Målvogter,False,296,296,1.013,0,0,0,0.0
Simen PETTERSEN,1525.5,NORMAL,HF,Højre fløj,False,259,578,1.002,0,0,0,0.0
Akutaaneq KREUTZMANN,1524.9,NORMAL,HF,Højre fløj,False,213,481,1.005,0,0,0,0.0
Kevin GULLIKSEN,1524.3,NORMAL,HF,Højre fløj,False,389,403,1.003,0,0,0,0.0
Jesper NØDDESBO,1521.9,NORMAL,HF,Højre fløj,False,259,533,1.007,0,0,0,0.0
Mads Øris NIELSEN,1520.1,NORMAL,PL,Playmaker,False,156,468,1.005,0,0,0,0.0
Markus OLSSON,1519.7,NORMAL,HF,Højre fløj,False,135,391,1.012,0,0,0,0.0
Morten NYBERG,1519.1,NORMAL,HF,Højre fløj,False,218,519,1.012,0,0,0,0.0
Nicolai COLUNGA,1518.6,NORMAL,HF,Højre fløj,False,430,547,1.005,0,0,0,0.0
Mads CHRISTIANSEN,1518.2,NORMAL,HF,Højre fløj,False,271,477,1.004,0,0,0,0.0
Jacob HESSELLUND,1515.2,NORMAL,HF,Højre fløj,False,242,428,1.004,0,0,0,0.0
Rasmus Meyer EJLERSEN,1511.5,NORMAL,HF,Højre fløj,False,314,577,1.008,0,0,0,0.0
Sebastian AUGUSTINUSSEN,1511.2,NORMAL,HF,Højre fløj,False,487,517,1.007,0,0,0,0.0
Michael KNUDSEN,1510.9,NORMAL,ST,Streg,False,297,538,1.003,0,0,0,0.0
Johan SJÖSTRAND,1510.1,NORMAL,MV,Målvogter,False,272,272,1.008,0,0,0,0.0
Anton BRAMMING,1509.9,NORMAL,HF,Højre fløj,False,209,365,1.004,0,0,0,0.0
Mike HAACK,1508.8,NORMAL,HF,Højre fløj,False,377,412,1.004,0,0,0,0.0
Viktor NEVERS,1502.0,NORMAL,HF,Højre fløj,False,368,382,1.009,0,0,0,0.0
Emil JESSEN,1496.1,NORMAL,HF,Højre fløj,False,197,470,1.003,0,0,0,0.0
Alexander MORSTEN,1492.3,NORMAL,HF,Højre fløj,False,370,680,1.003,0,0,0,0.0
Emil Wernsdorf MADSEN,1490.7,NORMAL,HF,Højre fløj,False,257,440,1.003,0,0,0,0.0
Gunnar STEINN JÓNSSON,1489.0,NORMAL,HF,Højre fløj,False,269,486,1.006,0,0,0,0.0
Oscar BERGENDAHL,1488.8,NORMAL,HF,Højre fløj,False,312,575,1.004,0,0,0,0.0
