season,league,team_name
2020-2021,Kvindeliga,Odense Håndbold
2020-2021,Kvindeliga,Ajax København
2020-2021,Kvindeliga,Nykøbing F. Håndboldklub
2020-2021,Kvindeliga,Team Esbjerg
2020-2021,Kvindeliga,Herning-Ikast Håndbold
2020-2021,Kvindeliga,Aarhus United
2020-2021,Kvindeliga,Viborg HK
2020-2021,Kvindeliga,Skanderborg Håndbold
2020-2021,Kvindeliga,København Håndbold
2020-2021,Kvindeliga,Silkeborg-Voel KFUM
2020-2021,Kvindeliga,Randers HK
2020-2021,Kvindeliga,Holstebro Håndbold
2020-2021,Kvindeliga,Vendsyssel Håndbold
2020-2021,Kvindeliga,Horsens Håndbold Elite
2020-2021,Herreliga,SønderjyskE Herrer
2020-2021,Herreliga,Ajax København
2020-2021,Herreliga,Lemvig-Thyborøn Håndbold
2020-2021,Herreliga,Bjerringbro-Silkeborg
2020-2021,Herreliga,GOG
2020-2021,Herreliga,Skanderborg Håndbold
2020-2021,Herreliga,TMS Ringsted
2020-2021,Herreliga,Mors-Thy Håndbold
2020-2021,Herreliga,Skjern Håndbold
2020-2021,Herreliga,KIF Kolding
2020-2021,Herreliga,Fredericia Håndboldklub
2020-2021,Herreliga,Skive fH
2020-2021,Herreliga,TTH Holstebro
2020-2021,Herreliga,Ribe-Esbjerg HH
2020-2021,Herreliga,Aalborg Håndbold
2021-2022,Kvindeliga,Odense Håndbold
2021-2022,Kvindeliga,Nykøbing F. Håndbold
2021-2022,Kvindeliga,Ajax København
2021-2022,Kvindeliga,Team Esbjerg
2021-2022,Kvindeliga,Herning-Ikast Håndbold
2021-2022,Kvindeliga,Aarhus United
2021-2022,Kvindeliga,Viborg HK
2021-2022,Kvindeliga,Skanderborg Håndbold
2021-2022,Kvindeliga,TMS Ringsted
2021-2022,Kvindeliga,Ringkøbing Håndbold
2021-2022,Kvindeliga,Silkeborg-Voel KFUM
2021-2022,Kvindeliga,København Håndbold
2021-2022,Kvindeliga,Holstebro Håndbold
2021-2022,Kvindeliga,Randers HK
2021-2022,Kvindeliga,Horsens Håndbold Elite
2021-2022,Herreliga,SønderjyskE Herrer
2021-2022,Herreliga,Lemvig-Thyborøn Håndbold
2021-2022,Herreliga,Skanderborg Aarhus Håndbold
2021-2022,Herreliga,Bjerringbro-Silkeborg
2021-2022,Herreliga,GOG
2021-2022,Herreliga,Nordsjælland Håndbold
2021-2022,Herreliga,TMS Ringsted
2021-2022,Herreliga,HØJ Elite
2021-2022,Herreliga,Skjern Håndbold
2021-2022,Herreliga,Mors-Thy Håndbold
2021-2022,Herreliga,Skive fH
2021-2022,Herreliga,Fredericia Håndboldklub
2021-2022,Herreliga,KIF Kolding
2021-2022,Herreliga,TTH Holstebro
2021-2022,Herreliga,Ribe-Esbjerg HH
2021-2022,Herreliga,Aalborg Håndbold
2022-2023,Kvindeliga,EH Aalborg
2022-2023,Kvindeliga,Odense Håndbold
2022-2023,Kvindeliga,Ajax København
2022-2023,Kvindeliga,Nykøbing F. Håndbold
2022-2023,Kvindeliga,Team Esbjerg
2022-2023,Kvindeliga,SønderjyskE Kvinder
2022-2023,Kvindeliga,Aarhus United
2022-2023,Kvindeliga,Skanderborg Håndbold
2022-2023,Kvindeliga,Ringkøbing Håndbold
2022-2023,Kvindeliga,København Håndbold
2022-2023,Kvindeliga,Silkeborg-Voel KFUM
2022-2023,Kvindeliga,Ikast Håndbold
2022-2023,Kvindeliga,Viborg HK
2022-2023,Kvindeliga,SønderjyskE
2022-2023,Kvindeliga,Horsens Håndbold Elite
2022-2023,Herreliga,SønderjyskE Herrer
2022-2023,Herreliga,Lemvig-Thyborøn Håndbold
2022-2023,Herreliga,Bjerringbro-Silkeborg
2022-2023,Herreliga,Skanderborg Aarhus Håndbold
2022-2023,Herreliga,Team Sydhavsøerne
2022-2023,Herreliga,Fredericia HK
2022-2023,Herreliga,GOG
2022-2023,Herreliga,Nordsjælland Håndbold
2022-2023,Herreliga,Skjern Håndbold
2022-2023,Herreliga,Mors-Thy Håndbold
2022-2023,Herreliga,KIF Kolding
2022-2023,Herreliga,Fredericia Håndboldklub
2022-2023,Herreliga,TTH Holstebro
2022-2023,Herreliga,Ribe-Esbjerg HH
2022-2023,Herreliga,HC Midtjylland
2022-2023,Herreliga,Aalborg Håndbold
2023-2024,Kvindeliga,Odense Håndbold
2023-2024,Kvindeliga,Ajax København
2023-2024,Kvindeliga,SønderjyskE Kvinder
2023-2024,Kvindeliga,Nykøbing F. Håndbold
2023-2024,Kvindeliga,Team Esbjerg
2023-2024,Kvindeliga,Aarhus United
2023-2024,Kvindeliga,Skanderborg Håndbold
2023-2024,Kvindeliga,Ringkøbing Håndbold
2023-2024,Kvindeliga,København Håndbold
2023-2024,Kvindeliga,Silkeborg-Voel KFUM
2023-2024,Kvindeliga,Ikast Håndbold
2023-2024,Kvindeliga,Holstebro Håndbold
2023-2024,Kvindeliga,Viborg HK
2023-2024,Kvindeliga,Horsens Håndbold Elite
2023-2024,Kvindeliga,Bjerringbro FH
2023-2024,Herreliga,SønderjyskE Herrer
2023-2024,Herreliga,Lemvig-Thyborøn Håndbold
2023-2024,Herreliga,Skjern Håndbold
2023-2024,Herreliga,KIF Kolding
2023-2024,Herreliga,Skive fH
2023-2024,Herreliga,SJE
2023-2024,Herreliga,SKH
2023-2024,Herreliga,GOG
2023-2024,Herreliga,TMS Ringsted
2023-2024,Herreliga,Mors-Thy Håndbold
2023-2024,Herreliga,SAH – Skanderborg AGF
2023-2024,Herreliga,Bjerringbro-Silkeborg
2023-2024,Herreliga,Ribe-Esbjerg HH
2023-2024,Herreliga,Aalborg Håndbold
2023-2024,Herreliga,Fredericia HK
2023-2024,Herreliga,Nordsjælland Håndbold
2023-2024,Herreliga,Skanderborg AGF
2023-2024,Herreliga,TTH Holstebro
2023-2024,Herreliga,SAH - Skjern Håndbold
2023-2024,Herreliga,Fredericia Håndboldklub
2023-2024,Herreliga,SAH
2023-2024,Herreliga,SønderjyskE
2024-2025,Kvindeliga,Voel KFUM
2024-2025,Kvindeliga,EH Aalborg
2024-2025,Kvindeliga,Odense Håndbold
2024-2025,Kvindeliga,Nykøbing F. Håndbold
2024-2025,Kvindeliga,Team Esbjerg
2024-2025,Kvindeliga,Skanderborg Håndbold
2024-2025,Kvindeliga,Aarhus Håndbold Kvinder
2024-2025,Kvindeliga,Ringkøbing Håndbold
2024-2025,Kvindeliga,Silkeborg-Voel KFUM
2024-2025,Kvindeliga,København Håndbold
2024-2025,Kvindeliga,Ikast Håndbold
2024-2025,Kvindeliga,SønderjyskE Kvindehåndbold
2024-2025,Kvindeliga,Viborg HK
2024-2025,Kvindeliga,Horsens Håndbold Elite
2024-2025,Kvindeliga,Bjerringbro FH
2024-2025,Herreliga,Grindsted GIF
2024-2025,Herreliga,Fredericia Håndbold Klub
2024-2025,Herreliga,GOG
2024-2025,Herreliga,Nordsjælland Håndbold
2024-2025,Herreliga,TMS Ringsted
2024-2025,Herreliga,Skanderborg AGF
2024-2025,Herreliga,Mors-Thy Håndbold
2024-2025,Herreliga,Skjern Håndbold
2024-2025,Herreliga,Sønderjyske Herrehåndbold
2024-2025,Herreliga,KIF Kolding
2024-2025,Herreliga,SAH – Skanderborg AGF
2024-2025,Herreliga,Aalborg Håndbold
2024-2025,Herreliga,Bjerringbro-Silkeborg
2024-2025,Herreliga,Ribe-Esbjerg HH
2024-2025,Herreliga,TTH Holstebro
2024-2025,Herreliga,"Grindsted GIF, Håndbold"
